Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,AVG
1,Todd Gurley,II,,RB1,1,,,1,,1
2,Le'Veon Bell,, ,RB2,2,,,3,,2.4
3,David Johnson,,,RB3,3,,,2,,2.6
4,Ezekiel Elliott,,,RB4,4,,,4,,4
5,Antonio Brown,,,WR1,5,,,6,,5.2
6,Alvin Kamara,NO,6,RB5,7,,,5,,6.2
7,Saquon Barkley,PHI,9,RB6,6,,,7,,6.6
8,DeAndre Hopkins,BAL,10,WR2,9,,,10,,8.8
9,Leonard Fournette,,,RB7,12,,,9,,10
10,Kareem Hunt,KC,12,RB8,11,,,8,,10.2
11,dell Beckham Jr.,O,,WR3,10,,,12,,11
12,Melvin Gordon,III,,RB9,14,,,11,,11.2
13,Julio Jones,,,WR4,8,,,14,,12.6
14,Dalvin Cook,,,RB10,13,,,15,,14.2
15,Christian McCaffrey,SF,11,RB11,16,,,13,,14.8
16,Michael Thomas,,,WR5,17,,,16,,15.8
17,Keenan Allen,,,WR6,15,,,17,,16.4
18,Davante Adams,LAR,12,WR7,21,,,19,,18.8
19,Devonta Freeman,,,RB12,20,,,18,,19.2
20,A.J. Green ,,,WR8,19,,,21,,20.2
21,Rob Gronkowski,,,TE1,18,,,20,,20.6
22,Mike Evans,TB,5,WR9,23,,,24,,23.4
23,Jordan Howard,,,RB13,26,,,23,,23.6
24,Joe Mixon,HOU,10,RB14,27,,,22,,23.8
25,Travis Kelce,KC,12,TE2,25,,,26,,26.6
26,LeSean McCoy,,,RB15,24,,,28,,26.8
27,Tyreek Hill,MIA,11,WR10,31,,,25,,26.8
28,Aaron Rodgers,,,QB1,22,,,30,,28.2
29,T.Y. Hilton,,,WR11,29,,,27,,28.2
30,Stefon Diggs,NE,11,WR12,32,,,32,,29.8
31,Adam Thielen,CAR,4,WR13,34,,,29,,31.8
32,Larry Fitzgerald,,,WR14,30,,,37,,33.6
33,Kenyan Drake,,,RB16,35,,,31,,34.4
34,Amari Cooper,,,WR15,36,,,35,,34.6
35,Zach Ertz,WAS,4,TE3,33,,,34,,35
36,Doug Baldwin,,,WR16,39,,,39,,37
37,Alex Collins ,,,RB17,43,,,33,,37.4
38,Jarvis Landry,,,WR17,40,,,36,,38.4
39,Royce Freeman,,,RB18,37,,,38,,41.2
40,Derrick Henry,BAL,10,RB19,42,,,41,,42.2
41,Demaryius Thomas ,,,WR18,38,,,45,,43.2
42,Jay Ajayi ,,,RB20,44,,,40,,43.8
43,JuJu Smith-Schuster,KC,12,WR19,51,,,42,,44
44,Brandin Cooks,NO,6,WR20,47,,,44,,45.4
45,Golden Tate,,,WR21,45,,,43,,45.8
46,Lamar Miller,,,RB21,57,,,46,,46.8
47,Tom Brady,,,QB2,28,,,57,,47.8
48,Deshaun Watson,CLE,11,QB3,50,,,47,,47.8
49,Allen Robinson,II,,WR22,41,,,51,,48
50,Josh Gordon ,,,WR23,49,,,52,,48.6
51,Mark Ingram II ,,,RB22,60,,,48,,52.2
52,Russell Wilson,NYG,9,QB4,53,,,56,,54.4
53,Jimmy Graham,,,TE4,56,,,50,,54.4
54,Marvin Jones Jr. ,,,WR24,55,,,53,,54.8
55,Chris Hogan,,,WR25,54,,,54,,55
56,Greg lsen,O,,TE5,48,,,58,,56.4
57,Dion Lewis,,,RB23,58,,,49,,56.4
58,Marshawn Lynch ,,,RB24,52,,,68,,61.4
59,Cam Newton ,,,QB5,46,,,65,,63.4
60,Corey Davis,,,WR26,70,,,60,,63.6
61,Carlos Hyde,,,RB25,75,,,59,,65.8
62,Michael Crabtree,,,WR27,61,,,71,,66.4
63,Evan Engram,DEN,10,TE6,62,,,75,,66.4
64,Marquise Goodwin,,,WR28,67,,,55,,67
65,Emmanuel Sanders ,,,WR29,63,,,67,,67
66,Rex Burkhead,,,RB26,66,,,66,,69.8
67,Drew Brees,,,QB6,69,,,76,,71.4
68,Tevin Coleman,,,RB27,72,,,69,,71.8
69,Julian Edelman ,,,WR30,91,,,70,,72.2
70,Delanie Walker ,,,TE7,59,,,78,,73
71,Alshon Jeffery,,,WR31,88,,,83,,73.4
72,Kyle Rudolph,,,TE8,71,,,81,,77.2
73,Kerryon Johnson ,,,RB28,107,,,72,,77.8
74,Jamaal Williams,,,RB29,98,,,79,,78
75,William Fuller V ,,,WR32,92,,,63,,79.8
76,Sammy Watkins,,,WR33,74,,,94,,80.2
77,Carson Wentz ,,,QB7,73,,,88,,81.2
78,Robert Woods,PIT,7,WR34,64,,,93,,82.4
