player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Derrick Henry,10679,HB,TEN,17,280,57,16,33,385,0,1167,2,3,57,930,64.7,23,63,31,0,119,91.4,90.1,85.3,72.2,79.1,70.7,86.8,58,69,0,214,28,175,317,0,0,31,308,12,1167,930,3.32,4.2,1.22,160
Rachaad White,131633,HB,TB,17,272,39,6,13.8,137,0,990,2,22,39,688,45.9,21,47,30,3,113,67.7,67.6,47.8,,65.1,67.3,66.7,59.6,38,2,549,64,451,309,0,0,70,336,6,990,688,2.53,3.6,1.22,150
Christian McCaffrey,11763,HB,SF,16,272,60,20,36.4,531,1,1459,1,5,60,929,65.5,44,83,28,3,87,68.3,90.6,69,,24.6,87.1,90.6,34.9,72,2,564,67,417,328,0,0,79,339,14,1459,929,3.42,5.4,1.35,174
Travis Etienne Jr.,57185,HB,JAX,17,267,64,10,25.9,261,0,1008,5,24,64,766,77.7,22,53,15,0,158,91.3,77,70.1,,52.2,69.3,78.4,77,62,1,476,58,404,307,0,0,67,325,11,1008,766,2.87,3.8,1.18,101
Joe Mixon,11803,HB,CIN,17,257,31,8,16.2,168,1,1034,4,17,31,646,39,27,59,7,0,149,91.3,71.1,39.2,,29.7,68.8,73.8,59.9,44,2,376,52,373,289,0,0,62,309,9,1034,646,2.51,4,1.01,104
Najee Harris,57121,HB,PIT,17,255,52,14,26.9,278,0,1035,2,10,52,780,66.8,24,50,25,2,100,62.7,78.1,87.6,,58.3,60.1,78.7,56.7,25,0,170,29,201,303,0,0,34,284,8,1035,780,3.06,4.1,0.85,142
Tony Pollard,27126,HB,DAL,17,252,46,11,22.8,229,0,1005,3,5,46,735,48.5,21,56,9,3,118,64.8,76.6,90.4,,68.6,50.2,83.9,62.8,31,0,311,55,401,299,0,0,66,307,6,1005,735,2.92,4,0.78,125
Saquon Barkley,45791,HB,NYG,14,247,31,12,31.7,305,0,962,5,6,31,719,37.4,26,51,21,2,93,74.1,70.2,65.5,,76.6,60.6,70.6,56.4,36,1,280,41,306,295,0,0,58,288,6,962,719,2.91,3.9,0.92,148
Chuba Hubbard,57373,HB,CAR,17,238,41,9,18.8,170,0,902,0,8,41,682,50.7,21,59,5,1,101,87.7,77.2,89.1,,61.6,62.1,79.4,45,22,0,233,39,295,257,0,0,44,277,5,902,682,2.87,3.8,0.79,136
James Cook,83666,HB,BUF,17,237,37,10,21.6,242,0,1122,6,12,37,653,48,33,53,4,4,141,50.2,71.8,90.4,,23.8,53.5,79.3,56.5,42,0,446,44,308,269,0,0,53,281,2,1122,653,2.76,4.7,1.45,85
Josh Jacobs,45953,HB,LV,13,233,28,5,19.9,160,0,805,5,9,28,547,32.2,9,33,23,3,110,61,65,26.9,60,50.9,51,70.1,55.3,63,2,296,37,238,271,0,0,52,270,6,805,547,2.35,3.5,1.24,106
D'Andre Swift,57212,HB,PHI,16,229,43,11,26.1,274,0,1049,1,8,43,554,46,22,50,24,3,64,60.3,66.7,63.6,,47.9,52.8,72.1,53.8,43,1,214,39,279,292,0,0,47,268,5,1049,554,2.42,4.6,0.77,160
Kyren Williams,97118,HB,LA,12,228,51,9,21.7,248,0,1144,5,3,51,761,69.3,26,62,26,3,142,61.2,80.3,33.4,,54.4,38.5,90.6,59.1,56,2,206,32,323,249,0,0,47,260,12,1144,761,3.34,5,0.64,85
Breece Hall,97636,HB,NYJ,17,223,46,11,40.4,402,0,994,4,31,46,761,87.9,20,40,22,2,96,74.4,82.4,89.3,,53.9,88.9,77.8,57.4,83,0,591,76,336,255,0,0,90,299,5,994,761,3.41,4.5,1.76,125
David Montgomery,45719,HB,DET,14,219,48,8,21.8,221,0,1015,2,5,48,667,68.7,22,60,11,2,102,68.9,80,46,60,41.5,53.9,83.6,60,75,1,117,16,162,231,0,0,22,235,13,1015,667,3.05,4.6,0.72,117
Kenneth Walker III,97199,HB,SEA,15,219,56,10,28,252,0,900,2,19,56,637,88,24,46,29,1,63,86,83.5,24.4,,40.7,71,85.3,58.7,45,2,259,29,200,234,0,0,33,248,8,900,637,2.91,4.1,1.3,141
Javonte Williams,77803,HB,DEN,16,217,34,12,25.5,197,0,774,4,5,34,588,40,21,42,10,1,104,83.3,63.3,84.7,,27.8,61.9,64.9,57.6,21,1,228,47,170,264,0,0,55,264,3,774,588,2.71,3.6,1.34,106
Devin Singletary,40485,HB,HST,17,216,30,10,21,189,0,898,1,3,30,615,38.2,23,40,13,1,100,83.2,70.8,87.8,69.5,31,54,75.4,80.2,24,0,193,30,295,250,0,0,37,246,4,898,615,2.85,4.2,0.65,109
Bijan Robinson,123126,HB,ATL,17,214,52,10,24.5,237,0,969,5,17,52,663,78.6,30,51,2,4,63,37.8,69.1,46.5,,56.8,61.5,75.1,35.5,38,2,487,58,421,272,0,0,83,272,4,969,663,3.1,4.5,1.16,146
Raheem Mostert,9783,HB,MIA,15,209,54,14,32.5,329,0,1012,1,12,54,710,95.8,30,59,17,4,61,44.2,85.8,57.6,,65.5,51.8,91.1,59.1,49,1,175,25,258,253,0,0,29,234,18,1012,710,3.4,4.8,0.68,143
James Conner,11860,HB,ARZ,13,208,60,13,31.5,328,0,1040,0,6,60,818,110.5,31,57,1,0,115,90.8,89.2,88.3,,68,69.2,88.4,68.9,44,0,165,27,201,262,0,0,31,235,7,1040,818,3.93,5,0.82,89
Isiah Pacheco,83747,HB,KC,14,205,37,11,30.5,285,0,935,1,8,37,623,54.9,20,53,16,1,77,90.9,82.3,37.3,,62.8,70.8,83.7,60.7,48,1,244,44,268,228,0,0,50,249,7,935,623,3.04,4.6,0.91,122
Jerome Ford,83601,HB,CLV,17,204,43,8,32.7,266,0,813,9,11,43,597,63.7,23,34,8,1,113,81.9,68.9,90.3,,63.2,54.8,72.5,67.1,69,0,319,44,320,228,0,0,60,248,4,813,597,2.93,4,1,83
Gus Edwards,46027,HB,BLT,17,198,25,8,23.5,190,0,810,0,0,25,537,32.3,15,49,3,3,110,51.7,72.3,88,,55.4,52.6,74.6,55.8,42,2,180,12,166,255,0,0,12,210,13,810,537,2.71,4.1,1.08,84
Tyler Allgeier,83639,HB,ATL,17,186,39,3,10.5,72,0,683,0,4,39,549,62.2,13,41,2,0,51,90.6,82.9,82.8,,90.3,81,78,43.4,31,0,193,18,108,212,0,0,22,204,4,683,549,2.95,3.7,1.79,131
